description,item_count,total_outflow_amount,manual_status,manual_note
"Payment for Pembayaran Vendor - JAGUAR SHIPPING (M) SDN BHD: Opening Balance - Main",1,57454820.00,,
"Payment for Pembayaran Vendor - FARTRANS LOGISTICS CO.,LTD.: Opening Balance - Main",1,26173046.00,,
"Pembayaran gaji ALL DIVISI",1,25600000.00,,
"Payment for Pembayaran Vendor - PT PRASETYA MITRA PERSADA: Opening Balance - Main",2,16685824.00,,
"Payment for Pembayaran Vendor - PT AMASS GLOBAL NETWORK: Opening Balance - Main",1,16361232.00,,
"Payment for Pembayaran Vendor - SELA THERESA: Opening Balance - Main",1,15000000.00,,
"Payment for Pembayaran Vendor - PT ABE TRANSINDO PERKASA: Opening Balance - Main",1,14104900.00,,
"Payment for Pembayaran Vendor - JXH CARGO EXPRESS: Opening Balance - Main",1,12089000.00,,
"Payment for Pembayaran Vendor - MJTRANS: Opening Balance - Main",2,10678322.00,,
"Payment for Pembayaran Vendor - GLOBAL SERVICE ASIA PASIFIK: OF, DOK FEE, MASTER AWB, MATERAI",2,10387500.00,,
"Payment for Pembayaran Vendor - SURYA KENCANA: Opening Balance - Main",1,9023200.00,,
"Payment for Pembayaran Vendor - HANJIN GLOBAL LOGISTICS: Opening Balance - Main",1,7967084.00,,
"Payment for Pembayaran Vendor - TWO TRANS LOGISTIK: Opening Balance - Main",1,6500000.00,,
"Payment for Pembayaran Vendor - PT GEMILANG SUKSES MANDIRI: Opening Balance - Main",2,5850000.00,,
"Payment for Pembayaran Vendor - PT INTI DUTA DWITAMA: Opening Balance - Reimbursement",1,4602045.00,,
"Payment for Biaya Operational - EKA MUSTIKASARI: REFUND",3,4573000.00,,
"General expense: BEBAN ENTERTAINT",6,4257467.00,,
"Payment for Biaya Operational - DYAH AYU EKARDINI / WULAN: REFUND",1,3800000.00,,
"Payment for Reimbursement - AGUNG RAYA - DEPO: STORAGE",1,3731326.00,,
"Payment for Pembayaran Vendor - DEWI ARPIYATI CPP: Opening Balance - OPERATIONAL",1,2750000.00,,
"Payment for Reimbursement - OOCL: ADMIN BANK DO, Delivery Order",1,2250745.00,,
"Payment for Pembayaran Vendor - DEWI ARPIYATI CPP: Opening Balance - Main",1,2100000.00,,
"Pembelian Equipment - SISTEM BILLING EWILOG",1,2002500.00,,
"Payment for Pembayaran Vendor - SEACON BINTANG SEJAHTERA: Opening Balance - Reimbursement",2,1931400.00,,
"Payment for Pembayaran Vendor - ABADI CEMERLANG: Opening Balance - Main",1,1665000.00,,
"Payment for Pembayaran Vendor - CV JSN SENTOSA CARGO: Opening Balance - Main",1,1420000.00,,
"General expense: BEBAN IPL",1,1332000.00,,
"Payment for Reimbursement - SEACON BINTANG SEJAHTERA: LOLO",2,1287600.00,,
"General expense: BEBAN AIR, LISTRIK, DAN INTERNET",4,1114048.00,,
"Payment for Pembayaran Vendor - ASIAH/ADMIN: Opening Balance - Main",2,1034670.00,,
"Pembelian Equipment - RAK DINDING KAYU",1,559698.00,,
"Payment for Pembayaran Vendor - CAKRAWALA / DEPO: Opening Balance - Main",1,551950.00,,
"Payment for Pembayaran Vendor - JAFFREE-OPERATIONAL: HANDLING",1,500000.00,,
"Payment for Biaya Operational - FONI PAMUNGKAS SARI: REFUND",3,450000.00,,
"Payment for Pembayaran Vendor - RIDWAN ( TRUCKING VENDOR BY AIR): Opening Balance - Reimbursement",1,352500.00,,
"Payment for Pembayaran Vendor - PT INTI DUTA DWITAMA: Opening Balance - Main",1,303300.00,,
"Payment for Pembayaran Vendor - ASKRIDA SYARIAH-INSURANCE: Opening Balance - Main",1,286463.00,,
"General expense: BEBAN PERAWATAN PERALATAN",2,250000.00,,
"Payment for Pembayaran Vendor - IKHWAN: Opening Balance - Main",1,250000.00,,
"Payment for Pembayaran Vendor - ALEX / NURYAMAN: Opening Balance - Main",2,225000.00,,
"Payment for Pembayaran Vendor - ALEX / NURYAMAN: Opening Balance - Reimbursement",1,175000.00,,
"Payment for Pembayaran Vendor - ALEX / NURYAMAN: HANDLING, ++ ADD HANDLING, SEAL, CRANY",2,175000.00,,
"Payment for Pembayaran Vendor - ALEX / NURYAMAN: HANDLING",1,125000.00,,
"Payment for Biaya Operational - ALEX / NURYAMAN: HANDLING, ++ ADD HANDLING, SEAL, CRANY",1,100000.00,,
"Payment for Pembayaran Vendor - OPERATIONAL / MESSENGER: Opening Balance - Main",1,75000.00,,
"Payment for Biaya Operational - GLOBAL SERVICE ASIA PASIFIK: OF, DOK FEE, MASTER AWB, MATERAI",2,60000.00,,
"Payment for Pembayaran Vendor - INTERNAL DIVISION: TRUCKING",1,50000.00,,
"Payment for Biaya Operational - BEBAN JASA: PARKIR, STORAGE",1,46500.00,,
"Topup Supplies - ATK & Supplies",1,26500.00,,
"General expense: BEBAN ADMIN BANK",1,25000.00,,
"Pembelian Equipment - MAP JEPIT HIJAU",1,14828.00,,
"Payment for Biaya Operational - OOCL: ADMIN BANK DO, Delivery Order",1,2500.00,,
